case,t,att_err_angle_E,att_err_angle_Q,tau_norm_E,tau_norm_Q,omega_norm_E,omega_norm_Q,eR_norm_E,eR_norm_Q,condE
NearSingularity_90deg,3.106,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.107,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.108,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.109,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.11,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.111,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.112,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.113,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.114,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.115,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.116,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.117,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.118,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.119,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
